abbr,definition_name,description,category,unit,has_miiv,has_eicu
alb,albumin,albumin,chemistry,g/dL,true,true
alp,alkaline_phosphatase,alkaline phosphatase,chemistry,"[""IU/L"", ""U/l""]",true,true
alt,alanine_aminotransferase,alanine aminotransferase,chemistry,"[""IU/L"", ""U/l""]",true,true
ast,aspartate_aminotransferase,aspartate aminotransferase,chemistry,"[""IU/L"", ""U/l""]",true,true
be,base_excess,base excess,blood gas,"[""mEq/L"", ""mmol/l""]",true,true
bicar,bicarbonate,bicarbonate,chemistry,"[""mEq/L"", ""mmol/l""]",true,true
bili,total_bilirubin,total bilirubin,chemistry,mg/dL,true,true
bili_dir,bilirubin_direct,bilirubin direct,chemistry,mg/dL,true,true
bnd,band_form_neutrophils,band form neutrophils,hematology,%,true,true
bun,blood_urea_nitrogen,blood urea nitrogen,chemistry,mg/dL,true,true
ca,calcium,calcium,chemistry,mg/dL,true,true
cai,calcium_ionized,calcium ionized,blood gas,mmol/L,true,true
ck,creatine_kinase,creatine kinase,chemistry,"[""IU/L"", ""U/l""]",true,true
ckmb,creatine_kinase_mb,creatine kinase MB,chemistry,ng/mL,true,true
cl,chloride,chloride,chemistry,"[""mEq/L"", ""mmol/l""]",true,true
crea,creatinine,creatinine,chemistry,mg/dL,true,true
crp,c_reactive_protein,C-reactive protein,chemistry,mg/L,true,true
dbp,diastolic_blood_pressure,diastolic blood pressure,vitals,"[""mmHg"", ""mm Hg""]",true,true
fgn,fibrinogen,fibrinogen,hematology,mg/dL,true,true
fio2,fraction_of_inspired_oxygen,fraction of inspired oxygen,blood gas,%,true,true
glu,glucose,glucose,chemistry,mg/dL,true,true
hgb,hemoglobin,hemoglobin,hematology,g/dL,true,true
hr,heart_rate,heart rate,vitals,"[""bpm"", ""/min""]",true,true
inr_pt,prothrombin_time_per_international_normalized_ratio,prothrombin time/international normalized ratio,hematology,,true,true
k,potassium,potassium,chemistry,"[""mEq/L"", ""mmol/l""]",true,true
lact,lactate,lactate,blood gas,mmol/L,true,true
lymph,lymphocytes,lymphocytes,hematology,%,true,true
map,mean_arterial_pressure,mean arterial pressure,vitals,"[""mmHg"", ""mm Hg""]",true,true
mch,mean_corpuscular_hemoglobin,mean corpuscular hemoglobin,hematology,pg,true,true
mchc,mean_corpuscular_hemoglobin_concentration,mean corpuscular hemoglobin concentration,hematology,%,true,true
mcv,mean_corpuscular_volume,mean corpuscular volume,hematology,fL,true,true
methb,methemoglobin,methemoglobin,blood gas,%,true,true
mg,magnesium,magnesium,chemistry,mg/dL,true,true
na,sodium,sodium,chemistry,"[""mEq/L"", ""mmol/l""]",true,true
neut,neutrophils,neutrophils,hematology,%,true,true
o2sat,oxygen_saturation,oxygen saturation,respiratory,"[""%"", ""% Sat.""]",true,true
pco2,co2_partial_pressure,CO2 partial pressure,blood gas,"[""mmHg"", ""mm Hg""]",true,true
ph,ph_of_blood,pH of blood,blood gas,,true,true
phos,phosphate,phosphate,chemistry,mg/dL,true,true
plt,platelet_count,platelet count,hematology,"[""K/uL"", ""G/l""]",true,true
po2,o2_partial_pressure,O2 partial pressure,blood gas,"[""mmHg"", ""mm Hg""]",true,true
ptt,partial_thromboplastin_time,partial thromboplastin time,hematology,sec,true,true
resp,respiratory_rate,respiratory rate,respiratory,"[""insp/min"", ""/min""]",true,true
sbp,systolic_blood_pressure,systolic blood pressure,vitals,"[""mmHg"", ""mm Hg""]",true,true
temp,temperature,temperature,vitals,"[""C"", ""\u00b0C""]",true,true
tnt,troponin_t,troponin t,chemistry,ng/mL,true,true
urine,urine_output,urine output,output,mL,true,true
wbc,white_blood_cell_count,white blood cell count,hematology,"[""K/uL"", ""G/l""]",true,true
